amfi_code,cagr_pct
120505,32.801599480386166
119598,32.398083984645545
149324,32.262107528416564
148569,31.924485848158724
148567,30.949920362874206
120843,30.883325525154603
100033,30.099703552874523
149323,29.558105232568344
119094,28.192608222062464
119551,25.784920849464086
118632,24.03119561352478
101206,23.520488754230385
120504,23.277447532730513
148568,22.499840384352243
119552,21.50802178549933
125497,19.003613208378557
120503,18.771330105513616
102885,18.218826089343754
120506,17.072227512921923
102887,16.828673461948984
118634,16.36139647659338
118633,16.262218000296524
118635,15.94548118508252
120841,13.522349085511554
149322,13.383520958789363
125498,11.293660210400969
101207,7.933120999915699
119093,7.891944369437343
120507,7.232410932344591
120844,6.91037983940288
120842,6.696806255006482
101208,6.504429821332125
119092,6.363494757718979
119120,5.885271270380055
118636,5.313155402760827
100025,4.455091155784441
100016,2.6352458116335464
119599,2.053064146209893
119095,1.5204552427132478
102886,1.17093879842316
